Nom,Adresse,BP,Email,Fax,Téléphone,Site Web
ABCO Bourse,"Résidence Moumtazz, Avenue Cheikh Anta Diop, Mermoz - Face 2ème Porte, DAKAR - SENEGAL",6956 Dakar – Etoile,contact@abcobourse.com,(+221) 33 822 68 01,(+221) 33 822 68 00,www.abcobourse.com
Africaine de Gestion et d’Intermédiation (AGI),"Av. Jean Paul II, Carré 1269 Immeuble de l’Africaine des Assurances Face à la Direction de l’Emigration Immigration 01",8668 RP Cotonou,contact@sgi-agi.com,+229 21316065,+229 21318733,www.sgi-agi.com
ATLANTIQUE FINANCE,"15, Av. Joseph Anoma, Abidjan-Plateau, 10ème  étage",04 BP 1036 Abidjan 04,atlantiquefinance@banqueatlantique.net,,27 20 31 21 21 / 27 20 31 21 23,https://www.atlantiquefinance.net/
ATTIJARI SECURITIES WEST AFRICA,Rue Gourgas - Tour Immeuble Alpha 2000 3ème étage,1300 ABIDJAN,aswa@sib.ci,(225) 27 20 21 98 27,(225) 27 20 21 98 26 / 32,www.sib.ci
Société Africaine d'Ingénierie et d'Intermédiation Financières (SA2IF),"Ouaga Kossyam 10010   Ouaga 2000, Extension sud non loin de Salitas",459 Ouaga,sa2if@sa2if.com,,(226) 75 20 01 01 / 64 36 99 99,
SOCIETE GENERALE CAPITAL SECURITIES WEST AFRICA,"Bd Hassan II, Immeuble Ivoire Trade Center - Cocody - Abidjan",1355 ABIDJAN 01 T,filiale.sogebourse@socgen.com,(225) 27 20 20 14 89,(225) 27 20 20 12 65,https://societegenerale.africa/fr/des-services-sur-mesure/une-expertise-marches-financiers/gestion-intermediation/
United Capital for Africa SA,"Av. proche, rue en face de l’eglise Saint Michel allant vers Caboma, immeuble Comète  lot 202 parcelle « d », Cotonou – BENIN",001 BP 8690 RP,uca@ucasgi.com,(229) 21 31 00 21,(229) 21 31 00 21 / 61 18 18 00,www.ucasgi.com
SGI PHOENIX CAPITAL MANAGEMENT,"Cocody Riviera 4 Golf, Abidjan Face à l'annexe de l'Ambassade des USA (Ivoire Golf Club)",12686 Abidjan 12,cms@phoenixafrica.com,(225) 27 22 59 85 80,(225) 27 22 59 85 80,https://phoenixafricaholding.com/
SGI SBIF,"Avenue John Kennedy, 01",53 94 Ouagadougou 01,sbif@fasonet.bf,(226) 25 33 04 90,(226) 25 33 04 91/92,
SGI TOGO S.A,"PLACE VAN VOLLENHOVEN, UTB Centrale 3ème Etage",2312 LOME,sgiI-togo@ids.tg,(228) 22 22 31 47,(228) 22 22 31 45,
SIRIUS CAPITAL,"ABIDJAN – PLATEAU – CÔTE D’IVOIRE, Rue Jesse Owens Sis Immeuble Sciam",12916 Abidjan 01,contact@sirius.ci,(225) 27 20 24 24 74,(225) 27 20 24 24 65,www.sirius.ci
SGI IMPAXIS SECURITIES SA,Sacré Cœur 3 Extension VDN n° 10 077,45545 DAKAR Sénégal,Impaxis.securities@impaxis-securities.com,(221) 33 864 53 41,(221) 33 869 31 40/47,
SGI MAC AFRICAN,COCODY Riviera M’BADON à 300 mètres de l’Ambassade de Chine,,macafrican@macafrican.com,(225) 27 22 46 28 92,(225) 07 68 311 125 / 27 22 46 28 92,www.macafricansgi.com
SGI MALI S.A,"lmmeuble Ali Baba (ABKll) 2ème Etage, Bureau 209-210",,SGI@SGImali.com,(223) 20 29 29 75,(223) 20 29 41 19,
SGI NIGER S.A,258 B Rue du Grand Hôtel,10812 Niamey,sginiger@sginiger.com,(227) 20 73 78 16,(227) 20 73 78 18,www.sginiger.com
SGI CGF BOURSE,"Km 6, Av Cheick Anta Diop, Immeuble El Hadji Serigne Bassirou Mbacké",,cgfbourse@cgfbourse.com,(221) 33 824 03 34,(221) 33 864 97 97,
SGI CORIS BOURSE S.A,"1242 Avenue Dr Kwame Nkrumah, Immeuble Coris Bank International, 01",6585 Ouagadougou 01,corisbourse@corisbourse.com,(226) 50 33 14 83,(226) 50 33 14 85/50 72 73,
SGI EDC Investment Corporation,"Avenue Houdaille, 2ème étage Immeuble Ecobank, 01",4107 Abidjan 01,eic@ecobank.com,(225) 27 20 21 10 46,(225) 27 20 21 10 44,
SGI HUDSON & Cie,"24 Boulevard Clozel, Avenue Lamblin, Immeuble Le 24, 4e étage, 18 BP 2294 Abidjan 18 COTE D'IVOIRE",2294 ABIDJAN 18,info@hudson-cie.com,(225) 27 20 33 22 24,(225) 27 20 31 55 00,http://www.hudson-cie.com
SGI BENIN S.A,Carré 211 Saint Michel Immeuble SGI-BENIN,01 BP 4546 Cotonou,sgibenin@sgibenin.com,(229)21 31 15 60,(229)21 31 15 41/71,www.sgibenin.com
SGI BICI BOURSE,"1er étage de l'agence BICICI_AGHIEN, Cocody ll Plateau, Boulevard Latrille, Carrefour Duncan 01 BP 1298 Abidjan",1298 ABIDJAN,bicibourse@africa.bnpparibas.com,(225) 27 20 21 47 22,(225) 27 20 20 16 68,
SGI BIIC FINANCIAL SERVICES (BFS),Boulevard St Michel,7700 COTONOU 01,sgibfs@biic-financialservices.com,(229) 21 32 44 67,(229) 21 32 48 75/76,
SGI BNI FINANCES,"AV. MARCHAND, 14ème étage IMMEUBLE BELLERIVE PLATEAU 01",670 ABIDJAN 01,bnifinances@bni.ci,(225) 27 20 31 07 78,(225) 27 20 31 07 77,
ORAGROUP SECURITIES,"COCODY MERMOZ, RUE JEANNE GERVAIS, LOT 7B ET 8",08 BPM 701 ABIDJAN 08,contactOGS@orabank.net,,(00225) 07 88 77 15 69,www.oragroupsecurities.net
ORAGROUP SECURITIES,"COCODY MERMOZ, RUE JEANNE GERVAIS, LOT 7B ET 8",08 BPM 701 ABIDJAN 08,contactOGS@orabank.net,,(00225) 07 88 77 15 69,www.oragroupsecurities.net
PHOENIX CAPITAL MANAGEMENT,Cocody Riviera 4 Golf Face à 'annexe de l'Ambassade des USA,01 BP 12686 Abidjan 01,cms@phoenixafrica.com,,27 22 59 85 80,https://phoenixafricaholding.com/pcm/
SGI AFRICABOURSE,Avenue Steinmetz en face de DHL ex- Air Gabon 01,6002 COTONOU BENIN,africabourse@africabourse.com,(229) 21 31 14 54,(229) 21 31 88 35/36,www.africabourse.com
Image finances Internationales,"Ouaga 2000, coté Est de la mosquée KANAZOE",05 BV 30130 Ouagadougou 05 - BF,contact@image-finance.com,,+226 25 66 78 78 / +226 04 00 00 46,www.image-finance.com
Invictus Capital & Finance,"Immeuble El Hadji Rey TALL AMAR  Lot N°46, 21 Av. Lamine Gueye x Dodds, 12ème étage","BP 15 498 Dakar, Sénégal",contact@invictuscapfin.com,,(221) 33 864 58 58 / (221) 33 820 02 25,www.invictuscapfin.com
MATHA SECURITIES,mmeuble TROPIQUE 3 – 3ème étage Boulevard de la République – Plateau 01 BP 10762 Abidjan 01 – Côte d’Ivoire,,+ 225 27 20 24 30 30,,N/A,https://mathasecurities.com/
NSIA FINANCE,"8 et 10, Avenue Joseph Anoma, Tour BIAO 14ème étage",18 BP 2294 Abidjan 18,nsiafinance@nsiafinance.com,,27 20 20 06 53,https://www.nsiafinance.com/
EVEREST FINANCE,"Immeuble Platinum - 4ème étage, 18 Bd de la république",BP 11659,all@everestfin.com,(221) 33 82 28 700,(221) 33 82 28 700,www.everestfin.com
FINANCE GESTION INTERMEDIATION,"Point E, Immeuble EPI, 1er étage,  Boulevard du Sud x Rue 1","BP 25672 Dakar, Sénégal",contact@fgi-bourse.com,,(+221) 33 867 60 42 / (221) 78 152 05 05,www.fgi-bourse.com
GEK CAPITAL,"Abidjan, Cocody, Riviera Golf, Cité Riviera Beach, Villa Emeraude",17 BP 41 Abidjan 17,info@gekcapital.com,,+225  27 22 22 43 60,www.gekcapital.com
GLOBAL CAPITAL,Bamako ACl 2000 Rue 239 Parcelle 2355 1er étage,BP E3407,contact@sgiglobalcapital.com,,+ 223 44 90 59 74 / 44 90 59 75,www.sgiglobalcapital.com
BOA CAPITAL SECURITIES,"Plateau - Boulevard de la République, Avenue Crozet, Immeuble XL au 2ème étage.",01 BP 4854 Abidjan 01,info@boacapital.com,(225) 27 20 32 04 68,(225) 27 20 30 21 22,www.boacapital.com
BRIDGE SECURITIES,"Immeuble THE ONE, Cocody 33, Rue de la Cannebière",01 BP 13002 Abidjan 01,info@bridge-securities.com,,(225) 05 85 74 98 98 / 05 74 80 80 31,www.bridge-securities.com
BSIC CAPITAL SA,"Avenue Noguès, Immeuble Broadway Center 3ème étage Plateau",01 BP 7032 Abidjan 01 Côte d'Ivoire,bsic.capital@bsicbank.com,+225 27 20 31 71 12,+225 27 20 31 71 11,https://bsiccapital.com/
Compagnie d’Ingénierie Financière et d’Assistance en Bourse,"Immeuble SANLAM 3ième étage, Boulevard du 22 Octobre 1946, Quartier du Fleuve, Bamako/Mali",,info@cifabourse.com,,00223 20 23 50 20,www.cifabourse.com
